site,date,year,month,variable,value
toolik,1994-08-22T00:00:00Z,1994,8,temp_c,10.563333333333333
toolik,1995-06-19T00:00:00Z,1995,6,chl_ug_l,2.715345
toolik,1995-06-19T00:00:00Z,1995,6,cond_u_s,48.766666666666666
toolik,1995-06-19T00:00:00Z,1995,6,do_mg_l,11.093333333333334
toolik,1995-06-19T00:00:00Z,1995,6,secchi_m,5.6
toolik,1995-06-19T00:00:00Z,1995,6,temp_c,6.1866666666666665
toolik,1995-06-28T00:00:00Z,1995,6,chl_ug_l,2.4386
toolik,1995-06-28T00:00:00Z,1995,6,cond_u_s,49.03333333333333
toolik,1995-06-28T00:00:00Z,1995,6,do_mg_l,10.733333333333334
toolik,1995-06-28T00:00:00Z,1995,6,secchi_m,5.4
toolik,1995-06-28T00:00:00Z,1995,6,temp_c,8.14
toolik,1995-07-05T00:00:00Z,1995,7,chl_ug_l,1.5274100000000002
toolik,1995-07-05T00:00:00Z,1995,7,cond_u_s,43.7
toolik,1995-07-05T00:00:00Z,1995,7,do_mg_l,9.536666666666667
toolik,1995-07-05T00:00:00Z,1995,7,secchi_m,5.3
toolik,1995-07-05T00:00:00Z,1995,7,temp_c,12.816666666666666
toolik,1995-07-17T00:00:00Z,1995,7,chl_ug_l,1.23468
toolik,1995-07-17T00:00:00Z,1995,7,cond_u_s,52.233333333333334
toolik,1995-07-17T00:00:00Z,1995,7,do_mg_l,9.19
toolik,1995-07-17T00:00:00Z,1995,7,secchi_m,4
toolik,1995-07-17T00:00:00Z,1995,7,temp_c,15.870000000000001
toolik,1995-07-26T00:00:00Z,1995,7,chl_ug_l,1.612475
toolik,1995-07-26T00:00:00Z,1995,7,cond_u_s,51.36666666666667
toolik,1995-07-26T00:00:00Z,1995,7,do_mg_l,9.416666666666668
toolik,1995-07-26T00:00:00Z,1995,7,secchi_m,3.8
toolik,1995-07-26T00:00:00Z,1995,7,temp_c,10.886666666666667
toolik,1995-08-07T00:00:00Z,1995,8,chl_ug_l,1.3554650000000001
toolik,1995-08-07T00:00:00Z,1995,8,cond_u_s,53.56666666666667
toolik,1995-08-07T00:00:00Z,1995,8,do_mg_l,9.64
toolik,1995-08-07T00:00:00Z,1995,8,secchi_m,3.45
toolik,1995-08-07T00:00:00Z,1995,8,temp_c,10.41
toolik,1995-08-14T00:00:00Z,1995,8,chl_ug_l,1.91035
toolik,1995-08-14T00:00:00Z,1995,8,cond_u_s,55.9
toolik,1995-08-14T00:00:00Z,1995,8,do_mg_l,10.133333333333333
toolik,1995-08-14T00:00:00Z,1995,8,secchi_m,4
toolik,1995-08-14T00:00:00Z,1995,8,temp_c,11.443333333333333
toolik,1996-06-11T00:00:00Z,1996,6,chl_ug_l,NA
toolik,1996-06-11T00:00:00Z,1996,6,cond_u_s,19.8
toolik,1996-06-11T00:00:00Z,1996,6,do_mg_l,9.406666666666666
toolik,1996-06-11T00:00:00Z,1996,6,secchi_m,NA
toolik,1996-06-11T00:00:00Z,1996,6,temp_c,2.9433333333333334
toolik,1996-06-19T00:00:00Z,1996,6,chl_ug_l,0.6680488
toolik,1996-06-19T00:00:00Z,1996,6,cond_u_s,48.45
toolik,1996-06-19T00:00:00Z,1996,6,do_mg_l,9.476666666666667
toolik,1996-06-19T00:00:00Z,1996,6,secchi_m,3.9
toolik,1996-06-19T00:00:00Z,1996,6,temp_c,6.36
toolik,1996-06-26T00:00:00Z,1996,6,chl_ug_l,1.013288
toolik,1996-06-26T00:00:00Z,1996,6,cond_u_s,50.1
toolik,1996-06-26T00:00:00Z,1996,6,do_mg_l,9.313333333333334
toolik,1996-06-26T00:00:00Z,1996,6,secchi_m,3.8
toolik,1996-06-26T00:00:00Z,1996,6,temp_c,8.723333333333333
toolik,1996-07-08T00:00:00Z,1996,7,chl_ug_l,0.48404199999999997
toolik,1996-07-08T00:00:00Z,1996,7,cond_u_s,52.6
toolik,1996-07-08T00:00:00Z,1996,7,do_mg_l,9.16
toolik,1996-07-08T00:00:00Z,1996,7,secchi_m,3.6
toolik,1996-07-08T00:00:00Z,1996,7,temp_c,12.853333333333333
toolik,1996-07-17T00:00:00Z,1996,7,chl_ug_l,0.30512493350000003
toolik,1996-07-17T00:00:00Z,1996,7,cond_u_s,51.45
toolik,1996-07-17T00:00:00Z,1996,7,do_mg_l,8.875
toolik,1996-07-17T00:00:00Z,1996,7,secchi_m,3.95
toolik,1996-07-17T00:00:00Z,1996,7,temp_c,13.7
toolik,1996-07-24T00:00:00Z,1996,7,chl_ug_l,0.28321320000000005
toolik,1996-07-24T00:00:00Z,1996,7,cond_u_s,NA
toolik,1996-07-24T00:00:00Z,1996,7,do_mg_l,NA
toolik,1996-07-24T00:00:00Z,1996,7,secchi_m,NA
toolik,1996-07-24T00:00:00Z,1996,7,temp_c,NA
toolik,1996-07-26T00:00:00Z,1996,7,chl_ug_l,0.2332648
toolik,1996-07-26T00:00:00Z,1996,7,cond_u_s,52.46666666666667
toolik,1996-07-26T00:00:00Z,1996,7,do_mg_l,8.666666666666666
toolik,1996-07-26T00:00:00Z,1996,7,secchi_m,3.3
toolik,1996-07-26T00:00:00Z,1996,7,temp_c,12.843333333333334
toolik,1996-07-31T00:00:00Z,1996,7,chl_ug_l,0.4520370666666667
toolik,1996-07-31T00:00:00Z,1996,7,cond_u_s,NA
toolik,1996-07-31T00:00:00Z,1996,7,do_mg_l,NA
toolik,1996-07-31T00:00:00Z,1996,7,secchi_m,NA
toolik,1996-07-31T00:00:00Z,1996,7,temp_c,NA
toolik,1996-08-05T00:00:00Z,1996,8,chl_ug_l,0.4406498665
toolik,1996-08-05T00:00:00Z,1996,8,cond_u_s,52.733333333333334
toolik,1996-08-05T00:00:00Z,1996,8,do_mg_l,9.043333333333333
toolik,1996-08-05T00:00:00Z,1996,8,secchi_m,3.6
toolik,1996-08-05T00:00:00Z,1996,8,temp_c,10.88
toolik,1996-08-07T00:00:00Z,1996,8,chl_ug_l,0.01965128
