site,date,year,month,depth_m,variable,value
toolik,1990-07-03T00:00:00Z,1990,7,16,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,0,temp_c,14.55
toolik,1990-07-10T00:00:00Z,1990,7,0,cond_u_s,40
toolik,1990-07-10T00:00:00Z,1990,7,0,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,0,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,0,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,0.1,temp_c,14.545
toolik,1990-07-10T00:00:00Z,1990,7,0.1,cond_u_s,40.1
toolik,1990-07-10T00:00:00Z,1990,7,0.1,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,0.1,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,0.1,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,0.2,temp_c,14.54
toolik,1990-07-10T00:00:00Z,1990,7,0.2,cond_u_s,40.2
toolik,1990-07-10T00:00:00Z,1990,7,0.2,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,0.2,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,0.2,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,0.5,temp_c,14.525
toolik,1990-07-10T00:00:00Z,1990,7,0.5,cond_u_s,40.5
toolik,1990-07-10T00:00:00Z,1990,7,0.5,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,0.5,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,0.5,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,1,temp_c,14.5
toolik,1990-07-10T00:00:00Z,1990,7,1,cond_u_s,41
toolik,1990-07-10T00:00:00Z,1990,7,1,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,1,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,1,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,2,temp_c,14.149999999999999
toolik,1990-07-10T00:00:00Z,1990,7,2,cond_u_s,42
toolik,1990-07-10T00:00:00Z,1990,7,2,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,2,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,2,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,3,temp_c,14.2
toolik,1990-07-10T00:00:00Z,1990,7,3,cond_u_s,42
toolik,1990-07-10T00:00:00Z,1990,7,3,do_mg_l,8.9
toolik,1990-07-10T00:00:00Z,1990,7,3,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,3,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,4,temp_c,14.05
toolik,1990-07-10T00:00:00Z,1990,7,4,cond_u_s,42
toolik,1990-07-10T00:00:00Z,1990,7,4,do_mg_l,9
toolik,1990-07-10T00:00:00Z,1990,7,4,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,4,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,5,temp_c,11.55
toolik,1990-07-10T00:00:00Z,1990,7,5,cond_u_s,41
toolik,1990-07-10T00:00:00Z,1990,7,5,do_mg_l,10
toolik,1990-07-10T00:00:00Z,1990,7,5,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,5,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,6,temp_c,10.05
toolik,1990-07-10T00:00:00Z,1990,7,6,cond_u_s,38
toolik,1990-07-10T00:00:00Z,1990,7,6,do_mg_l,9.5
toolik,1990-07-10T00:00:00Z,1990,7,6,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,6,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,7,temp_c,9.6
toolik,1990-07-10T00:00:00Z,1990,7,7,cond_u_s,38
toolik,1990-07-10T00:00:00Z,1990,7,7,do_mg_l,9.9
toolik,1990-07-10T00:00:00Z,1990,7,7,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,7,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,8,temp_c,8
toolik,1990-07-10T00:00:00Z,1990,7,8,cond_u_s,37
toolik,1990-07-10T00:00:00Z,1990,7,8,do_mg_l,9.5
toolik,1990-07-10T00:00:00Z,1990,7,8,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,8,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,9,temp_c,7.95
toolik,1990-07-10T00:00:00Z,1990,7,9,cond_u_s,37
toolik,1990-07-10T00:00:00Z,1990,7,9,do_mg_l,9.8
toolik,1990-07-10T00:00:00Z,1990,7,9,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,9,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,10,temp_c,7
toolik,1990-07-10T00:00:00Z,1990,7,10,cond_u_s,35
toolik,1990-07-10T00:00:00Z,1990,7,10,do_mg_l,10
toolik,1990-07-10T00:00:00Z,1990,7,10,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,10,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,11,temp_c,6.75
toolik,1990-07-10T00:00:00Z,1990,7,11,cond_u_s,35
toolik,1990-07-10T00:00:00Z,1990,7,11,do_mg_l,9.8
toolik,1990-07-10T00:00:00Z,1990,7,11,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,11,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,12,temp_c,6.800000000000001
toolik,1990-07-10T00:00:00Z,1990,7,12,cond_u_s,3.8
toolik,1990-07-10T00:00:00Z,1990,7,12,do_mg_l,9.8
toolik,1990-07-10T00:00:00Z,1990,7,12,chl_ug_l,NA
toolik,1990-07-10T00:00:00Z,1990,7,12,secchi_m,5.5
toolik,1990-07-10T00:00:00Z,1990,7,13,temp_c,6.5
toolik,1990-07-10T00:00:00Z,1990,7,13,cond_u_s,38
